Image1,Image2,Score1,Score2,Label
AF862.jpg,AM1572.jpg,4.3,4.3,similar
CF629.jpg,CF715.jpg,3.6,3.6,similar
AM1636.jpg,AF1171.jpg,4.3,4.3,similar
AF319.jpg,CM180.jpg,3,3.1,similar
AF1976.jpg,AF1590.jpg,1.1,1.1,similar
AF398.jpg,CM727.jpg,4.1,4.1,similar
AM739.jpg,AF5.jpg,2,2,similar
AF1726.jpg,AF1063.jpg,4.3,4.3,similar
AM1419.jpg,AF1108.jpg,1.8,1.9,similar
CM587.jpg,AM707.jpg,1.7,1.8,similar
AM1478.jpg,AM1010.jpg,2.3,2.3,similar
CF389.jpg,AF717.jpg,2.1,2,similar
AF1590.jpg,AF1959.jpg,1.1,1,similar
CF516.jpg,AF1409.jpg,3.4,3.5,similar
AM1564.jpg,AM1720.jpg,4,4,similar
AM1529.jpg,AF1077.jpg,3.2,3.1,similar
AF1509.jpg,AF1771.jpg,1.7,1.7,similar
AM1282.jpg,CM505.jpg,2.1,2.1,similar
AM1837.jpg,CF634.jpg,4.7,4.6,similar
AF1786.jpg,AF1867.jpg,4.1,4,similar
CF702.jpg,CF576.jpg,4.5,4.6,similar
AM1732.jpg,CM445.jpg,4,4,similar
AM1701.jpg,AM1576.jpg,4.4,4.3,similar
AF1273.jpg,AM111.jpg,1.3,1.3,similar
AM262.jpg,CF398.jpg,3.2,3.2,similar
CF702.jpg,CF719.jpg,4.5,4.6,similar
AM1811.jpg,AM1949.jpg,3.4,3.4,similar
CM700.jpg,AF1837.jpg,4.5,4.5,similar
AF600.jpg,AF1218.jpg,3.4,3.4,similar
AF5.jpg,AM1354.jpg,2,2,similar
AF1720.jpg,CF544.jpg,3.6,3.6,similar
AF1919.jpg,AF1330.jpg,4,4,similar
AF1621.jpg,CF588.jpg,3.6,3.6,similar
CM19.jpg,AF269.jpg,3.6,3.7,similar
CF403.jpg,AM1241.jpg,2.2,2.3,similar
AF63.jpg,CM427.jpg,1.8,1.7,similar
CF620.jpg,AF592.jpg,4.5,4.5,similar
CM287.jpg,CF473.jpg,3,3.1,similar
AM295.jpg,AF1043.jpg,2.6,2.5,similar
AM348.jpg,AF1306.jpg,2.1,2,similar
AF1691.jpg,AF1982.jpg,3.3,3.3,similar
AF1995.jpg,AF1076.jpg,1.3,1.4,similar
AM169.jpg,CF348.jpg,1.8,1.8,similar
AM292.jpg,AF349.jpg,2.6,2.6,similar
AF1641.jpg,AF1453.jpg,1.2,1.2,similar
CM672.jpg,AF869.jpg,4,3.9,similar
AM1732.jpg,AF1224.jpg,4,4,similar
AF1200.jpg,AF1389.jpg,3.7,3.7,similar
AF1720.jpg,AM1925.jpg,3.6,3.5,similar
AM997.jpg,AM295.jpg,2.6,2.6,similar
AF1540.jpg,CF65.jpg,1.4,1.3,similar
AF1641.jpg,AM10.jpg,1.2,1.2,similar
CM593.jpg,CF505.jpg,3.2,3.2,similar
AM725.jpg,CM603.jpg,3,3,similar
AF917.jpg,AF1866.jpg,1.4,1.5,similar
AF345.jpg,AF757.jpg,1.5,1.4,similar
AF305.jpg,CF477.jpg,1.8,1.9,similar
AM75.jpg,CF107.jpg,3.9,3.8,similar
CF252.jpg,AF1947.jpg,3.5,3.5,similar
CF120.jpg,CF533.jpg,2.6,2.5,similar
CM288.jpg,CF80.jpg,2.7,2.8,similar
CM521.jpg,AF1781.jpg,3.6,3.6,similar
AF1459.jpg,AM1020.jpg,4,4,similar
CF399.jpg,AF1600.jpg,3.1,3,similar
AF1790.jpg,AM910.jpg,2,2.1,similar
AF187.jpg,CM405.jpg,3.1,3.1,similar
AF1540.jpg,AF815.jpg,1.4,1.3,similar
AM1173.jpg,AM660.jpg,1.9,1.9,similar
AF1297.jpg,CM162.jpg,3.4,3.4,similar
AM1761.jpg,AF1458.jpg,3.9,3.8,similar
AF536.jpg,AF107.jpg,1.9,1.9,similar
CF395.jpg,CF435.jpg,2.9,2.8,similar
CM355.jpg,AF1996.jpg,1.6,1.6,similar
CM658.jpg,AF1920.jpg,3.5,3.5,similar
CF572.jpg,AF1551.jpg,3.6,3.6,similar
AM157.jpg,CM251.jpg,3.7,3.7,similar
AF906.jpg,AM1781.jpg,3,3,similar
CF470.jpg,AF880.jpg,3.8,3.8,similar
AF546.jpg,CM323.jpg,1.9,1.9,similar
AF1461.jpg,AM1680.jpg,3.3,3.4,similar
CF314.jpg,AM1033.jpg,1.9,2,similar
AF1271.jpg,AF1203.jpg,3.3,3.4,similar
AM1690.jpg,AF1684.jpg,4.4,4.4,similar
AF236.jpg,AF1889.jpg,3.9,3.8,similar
AF1390.jpg,AM77.jpg,4.1,4.2,similar
AF1641.jpg,AF1890.jpg,1.2,1.2,similar
AM1195.jpg,AF710.jpg,2,1.9,similar
CM669.jpg,CF584.jpg,4.4,4.4,similar
AM1343.jpg,CF160.jpg,2.5,2.4,similar
AF1816.jpg,AF695.jpg,4.6,4.5,similar
AM1713.jpg,AF1455.jpg,3.1,3,similar
CM199.jpg,AM1209.jpg,2.5,2.5,similar
AM1760.jpg,CM705.jpg,4.2,4.2,similar
CF634.jpg,CF640.jpg,4.6,4.7,similar
CF61.jpg,AF1241.jpg,4,3.9,similar
AM1446.jpg,CF222.jpg,2.7,2.8,similar
